reading_id,machine_id,shift,timestamp,temperature_c,vibration_mm_s,qa_result
R000058,M-18,Evening,2025-06-28 16:29:00,91.1,4.01,Pass
R000059,M-05,NIGHT,2025-06-20 23:19:00,69.0,2.54,Pass
R000060,M-07,Night,2025-06-28 05:51:00,75.7,1.57,Fail
R000061,M-14,NIGHT,2025-06-15 02:23:00,86.8,2.54,Pass
R000062,M-09,Night,2025-06-15 14:34:00,41.9,3.45,Fail
R000063,M-04,Morning,2025-06-06 14:14:00,94.9,4.75,Pass
R000064,M-17,NIGHT,2025-06-03 05:38:00,91.4,2.45,Pass
R000065,M-10,Night,2025-06-02 03:55:00,81.1,1.76,Pass
R000066,M-01,Night,2025-06-25 02:39:00,40.6,0.11,Pass
R000067,M-16,NIGHT,2025-06-23 09:12:00,84.2,1.37,Pass
R000068,M-14,Morning,2025-06-27 18:32:00,51.7,2.7,Pass
R000069,M-13,Evening,2025-06-18 11:32:00,83.2,1.55,Pass
R000070,M-08,Evening,2025-06-11 15:33:00,56.5,2.28,Pass
R000071,M-19,morning,2025-06-11 09:59:00,50.9,2.45,Fail
R000072,M-05,morning,2025-06-08 17:58:00,67.6,3.12,Pass
R000073,M-12,Morning,2025-06-09 06:02:00,52.0,1.52,Pass
R000074,M-08,Night,2025-06-15 06:07:00,42.8,4.82,Pass
R000075,M-20,Night,2025-06-01 09:28:00,,3.2,Pass
R000076,M-16,Evening,2025-06-19 23:09:00,41.5,2.44,Pass
R000077,M-06,NIGHT,2025-06-04 11:03:00,54.8,4.75,Pass
R000078,M-15,Evening,2025-06-19 15:29:00,60.8,2.9,Pass
R000079,M-19,Morning,2025-06-28 14:27:00,70.6,2.25,Pass
R000080,M-16,Evening,2025-06-18 16:44:00,64.0,1.1,Pass
R000081,M-17,NIGHT,2025-06-16 22:22:00,68.8,4.05,Pass
R000082,M-12,morning,2025-06-06 07:12:00,53.5,4.02,Pass
R000083,M-09,Night,2025-06-28 08:22:00,91.3,0.42,Pass
R000084,M-08,NIGHT,2025-06-15 13:40:00,50.0,2.45,Pass
R000085,M-16,morning,2025-06-13 15:17:00,53.0,3.24,Pass
R000086,M-05,Evening,2025-06-24 02:25:00,55.1,2.33,Pass
R000087,M-13,Morning,2025-06-04 16:53:00,91.0,3.8,Pass
R000088,M-11,Night,2025-06-23 10:14:00,72.6,3.38,Fail
R000089,M-05,Evening,2025-06-28 01:30:00,42.2,3.92,Pass
R000090,M-11,NIGHT,2025-06-01 13:25:00,57.6,1.82,Pass
R000091,M-15,Evening,2025-06-18 06:49:00,,1.89,Pass
R000092,M-11,NIGHT,2025-06-04 01:21:00,71.4,1.46,Fail
R000093,M-10,morning,2025-06-06 17:16:00,87.3,3.72,Pass
R000094,M-04,Evening,2025-06-09 13:49:00,73.6,1.31,Pass
R000095,M-14,Night,2025-06-11 18:35:00,51.1,4.4,Fail
R000096,M-12,NIGHT,2025-06-22 11:52:00,57.3,4.54,Pass
R000097,M-19,morning,2025-06-08 02:51:00,67.7,3.68,Pass
R000098,M-20,morning,2025-06-01 00:06:00,68.9,2.84,Pass
R000099,M-16,NIGHT,2025-06-26 02:57:00,48.0,3.54,Pass
R000100,M-07,morning,2025-06-20 08:07:00,53.6,2.98,Pass
R000101,M-15,Evening,2025-06-27 10:39:00,,2.63,Fail
R000102,M-14,morning,2025-06-19 17:55:00,,2.55,Pass
R000103,M-17,Night,2025-06-16 05:53:00,93.7,3.98,Pass
R000104,M-10,Night,2025-06-17 13:21:00,76.4,2.27,Fail
R000105,M-20,morning,2025-06-08 03:34:00,92.0,4.48,Pass
R000106,M-03,Morning,2025-06-21 02:10:00,73.7,3.58,Fail
R000107,M-13,Night,2025-06-07 17:20:00,64.7,0.88,Pass
R000108,M-13,Evening,2025-06-01 17:08:00,58.3,1.59,Pass
R000109,M-12,morning,2025-06-23 17:59:00,46.7,2.35,Pass
R000110,M-07,NIGHT,2025-06-26 01:59:00,86.2,4.79,Pass
R000111,M-06,Night,2025-06-15 08:51:00,70.4,3.61,Pass
R000112,M-02,NIGHT,2025-06-23 19:01:00,56.7,2.52,Pass
R000113,M-07,NIGHT,2025-06-01 02:25:00,60.1,3.73,Pass
R000114,M-20,morning,2025-06-07 11:01:00,64.1,1.16,Pass
R000115,M-02,morning,2025-06-02 02:15:00,59.2,4.01,Pass
R000116,M-14,NIGHT,2025-06-19 21:44:00,64.7,0.42,Fail
R000117,M-18,Morning,2025-06-15 10:52:00,61.3,1.29,Pass
R000118,M-01,Evening,2025-06-23 00:06:00,87.6,2.65,Pass
R000119,M-08,morning,2025-06-26 21:40:00,88.3,2.83,Fail
R000120,M-04,Night,2025-06-27 02:25:00,49.4,0.51,Pass
R000121,M-04,morning,2025-06-11 23:36:00,40.1,4.44,Fail
R000122,M-19,Morning,2025-06-25 02:00:00,60.5,1.16,Pass
R000123,M-18,Night,2025-06-23 20:09:00,51.2,4.32,Pass
R000124,M-14,morning,2025-06-08 08:49:00,50.9,2.03,Pass
R000125,M-14,Morning,2025-06-19 03:54:00,66.1,1.92,Pass
R000126,M-19,Night,2025-06-21 10:19:00,83.2,3.7,Pass
R000127,M-10,Morning,2025-06-01 03:16:00,57.5,3.75,Pass
R000128,M-16,Evening,2025-06-17 02:26:00,93.7,1.54,Fail
R000129,M-11,NIGHT,2025-06-23 20:31:00,70.1,0.23,Pass
R000130,M-11,NIGHT,2025-06-21 08:50:00,48.3,1.78,Pass
R000131,M-12,morning,2025-06-07 18:43:00,42.6,0.2,Pass
R000132,M-04,Morning,2025-06-14 00:40:00,44.7,99.9,Pass
R000133,M-10,NIGHT,2025-06-12 03:16:00,46.4,1.96,Pass
R000134,M-14,Morning,2025-06-04 21:55:00,58.9,1.9,Pass
R000135,M-14,Morning,2025-06-11 12:16:00,75.6,0.18,Pass
R000136,M-15,Night,2025-06-03 01:11:00,42.3,4.37,Pass
R000137,M-11,NIGHT,2025-06-14 16:37:00,41.9,3.24,Fail
R000138,M-05,morning,2025-06-02 01:14:00,62.3,4.47,Pass
R000139,M-13,Night,2025-06-28 14:59:00,83.4,3.16,Pass
R000140,M-14,Night,2025-06-24 00:54:00,92.0,4.61,Fail
R000141,M-13,Evening,2025-06-26 14:18:00,52.0,1.54,Fail
R000142,M-06,Night,2025-06-17 12:17:00,57.9,2.6,Pass
R000143,M-16,Morning,2025-06-24 20:19:00,80.1,1.25,Pass
R000144,M-10,Evening,2025-06-12 20:40:00,55.0,3.22,Pass
R000145,M-13,Evening,2025-06-28 15:31:00,41.9,0.3,Pass
R000146,M-09,Night,2025-06-10 15:15:00,72.5,4.75,Pass
R000147,M-09,NIGHT,2025-06-25 17:54:00,83.9,2.14,Fail
R000148,M-11,Morning,2025-06-14 17:25:00,40.6,2.92,Pass
R000149,M-15,Morning,2025-06-26 16:43:00,71.9,4.73,Fail
R000150,M-03,morning,2025-06-01 15:11:00,92.4,2.56,Pass
R000151,M-13,morning,2025-06-25 06:30:00,90.1,0.6,Pass
R000152,M-08,NIGHT,2025-06-14 09:11:00,60.9,0.63,Fail
R000153,M-18,Morning,2025-06-17 14:29:00,43.0,1.97,Pass
R000154,M-09,morning,2025-06-18 12:34:00,94.7,1.91,Fail
R000155,M-04,Evening,2025-06-16 21:23:00,52.0,0.63,Pass
R000156,M-13,NIGHT,2025-06-23 18:45:00,64.9,0.94,Fail
R000157,M-19,Night,2025-06-23 16:08:00,83.5,3.23,Pass
R000158,M-16,Night,2025-06-17 13:25:00,42.0,0.39,Pass
R000159,M-04,morning,2025-06-11 12:54:00,75.9,0.54,Pass
R000160,M-16,Morning,2025-06-20 07:27:00,42.0,1.46,Pass
R000161,M-03,Night,2025-06-12 11:46:00,64.6,4.49,Pass
R000162,M-02,Night,2025-06-12 22:42:00,82.1,1.91,Pass
R000163,M-09,Night,2025-06-16 16:50:00,77.5,2.55,Fail
R000164,M-20,morning,2025-06-28 03:03:00,55.7,4.93,Pass
R000165,M-03,NIGHT,2025-06-06 05:04:00,85.9,4.67,Pass
R000166,M-18,Morning,2025-06-12 13:45:00,72.7,2.48,Pass
R000167,M-05,Morning,2025-06-28 10:34:00,50.4,2.78,Fail
R000168,M-15,Evening,2025-06-28 01:03:00,61.6,1.69,Fail
R000169,M-10,Evening,2025-06-22 15:04:00,,0.11,Pass
R000170,M-10,Morning,2025-06-15 03:41:00,64.0,4.24,Pass
R000171,M-01,Evening,2025-06-20 19:29:00,78.2,1.03,Fail
R000172,M-10,Evening,2025-06-15 19:35:00,59.4,1.99,Fail
R000173,M-05,morning,2025-06-07 22:30:00,85.7,1.12,Pass
R000174,M-04,Night,2025-06-16 16:28:00,44.0,0.14,Pass
R000175,M-09,Evening,2025-06-17 11:25:00,82.5,4.34,Pass
R000176,M-01,Night,2025-06-19 07:03:00,89.6,2.57,Pass
R000177,M-17,Night,2025-06-24 22:05:00,90.7,3.52,Pass
R000178,M-06,morning,2025-06-04 06:26:00,48.3,1.02,Pass
R000179,M-02,Evening,2025-06-10 15:26:00,66.9,99.9,Fail
R000180,M-05,morning,2025-06-22 09:12:00,48.7,1.31,Fail
R000181,M-14,Evening,2025-06-21 10:14:00,,3.63,Pass
R000182,M-10,morning,2025-06-16 06:43:00,90.1,3.99,Pass
R000183,M-19,Night,2025-06-18 12:18:00,69.6,2.29,Pass
R000184,M-10,NIGHT,2025-06-07 20:59:00,93.7,1.52,Fail
R000185,M-03,Evening,2025-06-19 23:33:00,66.9,3.22,Pass
R000186,M-06,morning,2025-06-19 14:35:00,67.8,3.58,Pass
R000187,M-11,Evening,2025-06-19 09:38:00,75.7,4.5,Fail
R000188,M-06,Morning,2025-06-09 17:02:00,44.2,0.7,Fail
R000189,M-04,morning,2025-06-21 11:43:00,72.8,1.77,Pass
R000190,M-02,Evening,2025-06-26 05:44:00,77.4,1.19,Fail
R000191,M-04,Night,2025-06-05 08:40:00,68.2,0.62,Pass
R000192,M-09,NIGHT,2025-06-01 12:22:00,48.7,2.17,Pass
R000193,M-04,NIGHT,2025-06-11 02:34:00,67.5,4.2,Pass
R000194,M-07,Morning,2025-06-06 00:31:00,,3.9,Fail
R000195,M-19,morning,2025-06-25 18:23:00,90.0,1.86,Fail
R000196,M-09,Morning,2025-06-15 10:49:00,71.9,0.51,Pass
R000197,M-14,Morning,2025-06-23 18:15:00,63.1,1.0,Pass
R000198,M-12,Morning,2025-06-14 04:26:00,61.8,4.76,Pass
R000199,M-06,Evening,2025-06-15 03:37:00,87.5,2.52,Fail
R000200,M-05,Night,2025-06-05 18:25:00,75.1,2.8,Fail
R000201,M-14,Morning,2025-06-12 03:17:00,58.6,4.78,Fail
R000202,M-03,Morning,2025-06-25 02:12:00,55.9,0.48,Pass
R000203,M-20,NIGHT,2025-06-23 14:13:00,90.8,0.19,Fail
R000204,M-20,NIGHT,2025-06-03 22:13:00,42.0,4.99,Pass
R000205,M-12,Evening,2025-06-20 05:38:00,69.2,2.15,Pass
R000206,M-02,NIGHT,2025-06-10 18:12:00,63.0,0.56,Pass
R000207,M-18,Evening,2025-06-06 04:12:00,56.0,2.27,Fail
R000208,M-16,Evening,2025-06-03 10:53:00,68.9,4.87,Pass
R000209,M-09,Evening,2025-06-27 07:56:00,41.0,3.13,Fail
R000210,M-01,Morning,2025-06-16 12:46:00,86.5,3.72,Pass
R000211,M-06,morning,2025-06-02 19:12:00,66.5,3.2,Pass
R000212,M-16,Night,2025-06-24 09:03:00,85.4,4.47,Pass
R000213,M-20,NIGHT,2025-06-25 07:33:00,86.4,3.12,Pass
R000214,M-08,Evening,2025-06-22 00:27:00,52.6,0.67,Pass
R000215,M-06,Evening,2025-06-28 03:03:00,83.2,1.12,Fail
R000216,M-19,morning,2025-06-08 22:46:00,93.0,1.71,Pass
R000217,M-04,Night,2025-06-27 23:20:00,76.9,3.41,Pass
R000218,M-16,Night,2025-06-14 06:32:00,52.9,0.52,Pass
R000219,M-10,Night,2025-06-28 07:31:00,54.8,2.78,Pass
R000220,M-16,NIGHT,2025-06-08 21:43:00,80.5,1.42,Pass
R000221,M-07,morning,2025-06-19 17:01:00,94.3,4.2,Fail
R000222,M-16,Night,2025-06-17 08:38:00,93.8,3.28,Pass
R000223,M-09,Night,2025-06-25 18:21:00,53.4,2.51,Pass
R000224,M-01,morning,2025-06-22 03:39:00,93.3,3.12,Pass
R000225,M-07,Morning,2025-06-21 04:44:00,83.4,0.57,Pass
R000226,M-08,Night,2025-06-27 17:46:00,78.9,0.11,Fail
R000227,M-07,Evening,2025-06-06 00:08:00,84.3,1.94,Pass
R000228,M-19,morning,2025-06-13 01:03:00,41.0,0.34,Pass
R000229,M-13,Morning,2025-06-05 02:59:00,88.8,3.42,Fail
R000230,M-11,Evening,2025-06-01 07:47:00,86.7,2.23,Fail
R000231,M-13,Morning,2025-06-26 19:21:00,,4.95,Pass
R000232,M-05,morning,2025-06-19 03:23:00,86.1,1.21,Pass
R000233,M-13,Morning,2025-06-14 07:51:00,42.9,2.79,Fail
R000234,M-07,Morning,2025-06-01 08:31:00,43.5,0.52,Pass
R000235,M-04,NIGHT,2025-06-27 11:47:00,56.2,2.38,Pass
R000236,M-02,Night,2025-06-06 00:17:00,73.2,3.22,Pass
R000237,M-01,NIGHT,2025-06-04 08:23:00,72.9,3.58,Pass
R000238,M-11,morning,2025-06-21 01:39:00,83.9,1.24,Pass
R000239,M-06,morning,2025-06-11 06:40:00,60.1,1.91,Pass
R000240,M-14,Evening,2025-06-17 10:51:00,50.0,0.64,Pass
R000241,M-05,Evening,2025-06-24 23:54:00,83.1,1.94,Pass
R000242,M-02,morning,2025-06-19 20:25:00,58.0,2.17,Fail
R000243,M-10,NIGHT,2025-06-08 15:04:00,93.2,1.9,Pass
R000244,M-15,morning,2025-06-14 02:04:00,44.5,1.57,Pass
R000245,M-12,morning,2025-06-04 21:20:00,67.4,1.04,Fail
R000246,M-16,NIGHT,2025-06-23 10:42:00,78.2,3.42,Pass
R000247,M-06,morning,2025-06-06 13:16:00,57.4,2.38,Pass
R000248,M-13,NIGHT,2025-06-12 08:16:00,45.4,4.86,Pass
R000249,M-04,Morning,2025-06-04 00:50:00,54.2,3.64,Pass
R000250,M-06,Night,2025-06-23 18:57:00,57.1,1.88,Pass
R000251,M-14,morning,2025-06-10 20:50:00,44.1,3.4,Fail
R000252,M-15,Morning,2025-06-22 09:19:00,89.3,4.44,Pass
R000253,M-03,NIGHT,2025-06-01 00:35:00,77.5,2.07,Pass
R000254,M-10,Night,2025-06-03 10:26:00,69.9,2.43,Pass
R000255,M-07,Night,2025-06-01 08:07:00,89.1,3.28,Pass
R000256,M-16,morning,2025-06-05 01:34:00,65.4,2.0,Fail
R000257,M-02,Morning,2025-06-05 17:04:00,77.0,2.31,Fail
R000258,M-03,NIGHT,2025-06-04 23:57:00,65.0,0.25,Fail
R000259,M-11,morning,2025-06-27 17:18:00,60.9,4.78,Pass
R000260,M-09,Morning,2025-06-02 09:28:00,43.5,0.41,Pass
R000261,M-10,Evening,2025-06-19 03:36:00,79.8,3.58,Pass
R000262,M-18,Evening,2025-06-14 05:44:00,44.1,2.16,Pass
R000263,M-07,Night,2025-06-08 20:26:00,56.7,3.34,Pass
R000264,M-04,Night,2025-06-22 12:40:00,57.4,1.53,Pass
R000265,M-14,Evening,2025-06-13 12:06:00,90.0,2.69,Fail
R000266,M-08,Morning,2025-06-20 08:40:00,89.2,4.42,Fail
R000267,M-03,Morning,2025-06-20 05:43:00,90.6,1.38,Pass
R000268,M-08,NIGHT,2025-06-28 04:44:00,,0.58,Pass
R000269,M-20,Evening,2025-06-11 20:01:00,55.3,3.48,Pass
R000270,M-11,Evening,2025-06-03 22:35:00,86.5,2.53,Pass
R000271,M-09,Night,2025-06-09 13:42:00,81.9,1.24,Pass
R000272,M-09,NIGHT,2025-06-15 07:29:00,40.5,0.27,Pass
R000273,M-10,Morning,2025-06-05 08:59:00,78.0,1.14,Pass
R000274,M-08,Night,2025-06-20 08:31:00,80.9,3.97,Pass
R000275,M-01,morning,2025-06-25 17:27:00,72.9,3.45,Pass
R000276,M-18,morning,2025-06-27 05:48:00,86.0,3.77,Pass
R000277,M-13,Morning,2025-06-06 01:45:00,70.7,3.85,Fail
R000278,M-01,Night,2025-06-05 20:18:00,78.3,1.68,Pass
R000279,M-10,morning,2025-06-14 22:42:00,86.1,1.28,Pass
R000280,M-08,Night,2025-06-28 16:52:00,65.8,2.22,Pass
R000281,M-02,Morning,2025-06-20 09:55:00,67.6,1.87,Pass
R000282,M-08,Morning,2025-06-23 00:18:00,83.8,1.67,Pass
R000283,M-01,NIGHT,2025-06-10 18:02:00,66.1,0.5,Pass
R000284,M-17,Night,2025-06-19 02:32:00,70.6,3.51,Pass
R000285,M-01,NIGHT,2025-06-17 07:32:00,49.3,0.2,Pass
R000286,M-02,NIGHT,2025-06-16 22:24:00,66.6,2.9,Pass
R000287,M-17,Night,2025-06-21 08:08:00,80.1,2.01,Pass
R000288,M-13,Evening,2025-06-28 14:17:00,73.3,4.47,Pass
R000289,M-03,morning,2025-06-05 07:36:00,45.0,1.8,Pass
R000290,M-02,morning,2025-06-09 01:52:00,80.7,2.61,Pass
R000291,M-17,NIGHT,2025-06-03 10:54:00,61.7,4.02,Pass
R000292,M-04,Evening,2025-06-06 08:36:00,,2.95,Fail
R000293,M-18,Evening,2025-06-08 06:58:00,51.5,4.78,Fail
R000294,M-11,morning,2025-06-23 02:53:00,67.4,1.8,Fail
R000295,M-17,Night,2025-06-20 12:29:00,46.8,0.96,Pass
R000296,M-04,Night,2025-06-05 04:24:00,50.4,3.98,Pass
R000297,M-16,Evening,2025-06-07 13:15:00,51.1,3.29,Fail
R000298,M-16,Night,2025-06-09 04:29:00,90.0,0.6,Pass
R000299,M-05,Morning,2025-06-28 17:24:00,53.9,0.27,Fail
R000300,M-16,Night,2025-06-06 02:15:00,60.3,2.59,Pass
R000301,M-20,NIGHT,2025-06-14 02:00:00,47.9,0.35,Pass
R000302,M-19,Evening,2025-06-16 00:27:00,52.4,4.36,Pass
R000303,M-19,Night,2025-06-17 08:00:00,77.9,3.72,Pass
R000304,M-16,NIGHT,2025-06-28 14:52:00,,1.55,Fail
R000305,M-16,Evening,2025-06-21 22:48:00,72.2,2.32,Fail
R000306,M-17,Morning,2025-06-20 05:14:00,92.8,3.95,Pass
R000307,M-05,NIGHT,2025-06-07 18:17:00,44.7,1.67,Pass
R000308,M-03,Evening,2025-06-10 10:37:00,42.8,0.24,Pass
R000309,M-07,Night,2025-06-03 00:26:00,,1.37,Pass
R000310,M-17,Night,2025-06-05 17:08:00,49.4,0.78,Fail
R000311,M-06,Evening,2025-06-08 17:49:00,89.8,2.83,Fail
R000312,M-17,Night,2025-06-22 14:17:00,43.3,3.86,Pass
R000313,M-07,NIGHT,2025-06-05 18:29:00,53.7,0.16,Pass
R000314,M-18,morning,2025-06-24 15:04:00,51.3,3.13,Pass
R000315,M-08,Morning,2025-06-20 07:23:00,84.9,3.73,Fail
R000316,M-05,morning,2025-06-03 11:04:00,68.4,3.12,Fail
R000317,M-15,Morning,2025-06-17 22:44:00,45.9,1.24,Pass
R000318,M-18,Night,2025-06-13 06:51:00,79.3,2.77,Fail
R000319,M-18,Morning,2025-06-09 23:33:00,64.4,1.46,Pass
R000320,M-08,NIGHT,2025-06-06 14:40:00,45.3,3.99,Pass
R000321,M-02,Night,2025-06-27 03:54:00,54.7,0.93,Pass
R000322,M-11,Night,2025-06-02 10:02:00,64.2,2.49,Pass
R000323,M-01,Night,2025-06-11 14:06:00,90.5,1.68,Fail
R000324,M-07,Night,2025-06-26 02:40:00,79.8,3.37,Pass
R000325,M-18,Evening,2025-06-26 16:44:00,75.9,1.24,Pass
R000326,M-02,Evening,2025-06-25 08:17:00,55.4,2.46,Fail
R000327,M-11,NIGHT,2025-06-23 03:11:00,80.5,1.17,Pass
R000328,M-12,morning,2025-06-14 09:59:00,45.5,4.43,Fail
R000329,M-07,Morning,2025-06-21 07:25:00,82.4,1.97,Pass
R000330,M-16,Morning,2025-06-19 06:38:00,,4.54,Pass
R000331,M-04,NIGHT,2025-06-04 03:27:00,79.5,3.52,Pass
R000332,M-19,Night,2025-06-16 08:02:00,80.9,0.23,Fail
R000333,M-16,Evening,2025-06-06 04:36:00,86.3,1.35,Pass
R000334,M-08,morning,2025-06-23 10:22:00,74.3,4.87,Pass
R000335,M-07,morning,2025-06-27 01:02:00,,1.13,Pass
R000336,M-04,NIGHT,2025-06-27 10:17:00,47.5,0.35,Pass
R000337,M-10,Night,2025-06-24 13:05:00,47.1,2.44,Pass
R000338,M-13,Evening,2025-06-13 07:14:00,64.7,3.49,Fail
R000339,M-10,morning,2025-06-26 10:26:00,54.9,2.44,Fail
R000340,M-12,Night,2025-06-03 18:12:00,82.2,4.73,Fail
R000341,M-19,NIGHT,2025-06-02 02:17:00,58.4,4.47,Pass
R000342,M-15,NIGHT,2025-06-06 10:41:00,47.1,4.09,Fail
R000343,M-02,NIGHT,2025-06-16 17:28:00,66.2,4.08,Pass
R000344,M-08,Night,2025-06-15 14:25:00,40.6,4.89,Pass
R000345,M-19,NIGHT,2025-06-19 20:38:00,69.7,4.02,Pass
R000346,M-09,Night,2025-06-20 19:36:00,58.0,3.55,Pass
R000347,M-15,Night,2025-06-14 09:35:00,94.8,0.26,Pass
R000348,M-09,Morning,2025-06-17 10:55:00,89.7,4.87,Pass
R000349,M-11,morning,2025-06-23 01:02:00,83.9,1.47,Fail
R000350,M-02,Morning,2025-06-18 21:52:00,75.5,4.01,Fail
R000351,M-02,Morning,2025-06-04 06:09:00,52.3,1.36,Pass
R000352,M-10,Morning,2025-06-16 21:19:00,80.6,2.74,Pass
R000353,M-16,Morning,2025-06-26 23:35:00,44.0,1.35,Pass
R000354,M-14,Night,2025-06-15 01:52:00,68.6,0.13,Pass
R000355,M-01,Morning,2025-06-14 08:54:00,42.1,1.54,Pass
R000356,M-09,Night,2025-06-12 11:09:00,74.3,1.99,Fail
R000357,M-10,NIGHT,2025-06-21 01:23:00,59.3,1.87,Pass
R000358,M-10,NIGHT,2025-06-27 10:33:00,73.3,4.31,Pass
R000359,M-14,Evening,2025-06-15 09:26:00,64.4,0.4,Fail
R000360,M-17,Morning,2025-06-22 09:55:00,73.1,3.72,Pass
R000361,M-17,Morning,2025-06-08 18:22:00,76.7,0.62,Pass
R000362,M-12,Evening,2025-06-17 23:16:00,43.3,3.41,Pass
R000363,M-19,Night,2025-06-28 09:10:00,41.2,1.28,Pass
R000364,M-01,morning,2025-06-04 05:09:00,82.7,1.36,Pass
R000365,M-09,morning,2025-06-23 00:52:00,87.1,4.86,Pass
R000366,M-07,Morning,2025-06-02 19:32:00,78.0,4.47,Fail
R000367,M-08,Morning,2025-06-27 13:48:00,65.2,2.41,Fail
R000368,M-12,Night,2025-06-18 02:25:00,45.5,2.6,Pass
R000369,M-09,morning,2025-06-28 00:29:00,63.1,1.89,Fail
R000370,M-09,Night,2025-06-04 19:44:00,91.8,2.76,Fail
R000371,M-17,Morning,2025-06-05 00:08:00,87.1,4.0,Pass
R000372,M-05,Night,2025-06-13 16:47:00,82.2,4.67,Fail
R000373,M-19,morning,2025-06-15 18:33:00,93.9,0.55,Pass
R000374,M-10,NIGHT,2025-06-27 04:19:00,94.6,0.2,Pass
R000375,M-19,Night,2025-06-18 11:57:00,58.7,3.83,Pass
R000376,M-13,Evening,2025-06-27 09:33:00,48.5,3.77,Pass
R000377,M-18,Morning,2025-06-22 16:33:00,81.4,2.44,Pass
